state,district,party,candidatevotes,candidate
Illinois,1,democrat,234037,Bobby L. Rush
Illinois,1,,8,
Illinois,1,republican,81817,"August """"O'Neill"""" Deuser"
Illinois,2,republican,59471,John F. Morrow
Illinois,2,democrat,235051,Robin L. Kelly
Illinois,3,democrat,225320,Daniel Lipinski
Illinois,3,,91,Diane Harris
Illinois,4,democrat,171297,Luis V. Guti_rrez
Illinois,5,republican,86222,Vince Kolber
Illinois,5,democrat,212842,Mike Quigley
Illinois,5,,3,
Illinois,5,green,14657,Rob Sherman
Illinois,6,republican,208555,Peter J. Roskam
Illinois,6,democrat,143591,Amanda Howland
Illinois,7,republican,46882,Jeffrey A. Leef
Illinois,7,democrat,250584,Danny K. Davis
Illinois,8,democrat,144954,Raja Krishnamoorthi
Illinois,8,republican,103617,"Peter """"Pete"""" DiCianni"
Illinois,9,republican,109550,Joan McCarthy Lasonde
Illinois,9,democrat,217306,Janice D. Schakowsky
Illinois,9,,79,
Illinois,9,,13,
Illinois,10,,26,
Illinois,10,democrat,150435,Brad Schneider
Illinois,10,republican,135535,Robert J. Dold
Illinois,11,republican,108995,Tonia Khouri
Illinois,11,democrat,166578,Bill Foster
Illinois,12,democrat,124246,"Charles """"C. J."""" Baricevic"
Illinois,12,republican,169976,Mike Bost
Illinois,12,green,18780,Paula Bradshaw
Illinois,13,democrat,126811,Mark D. Wicklund
Illinois,13,republican,187583,Rodney Davis
Illinois,14,democrat,137589,Jim Walz
Illinois,14,republican,200508,Randy Hultgren
Illinois,15,republican,274554,John Shimkus
Illinois,16,,131,
Illinois,16,republican,259722,Adam Kinzinger
Illinois,17,republican,113943,Patrick Harlan
Illinois,17,democrat,173125,Cheri Bustos
Illinois,18,republican,250506,Darin LaHood
Illinois,18,,7,
Illinois,18,democrat,96770,Junius Rodriguez
Ohio,1,republican,210014,Steve Chabot
Ohio,1,,16,
Ohio,1,democrat,144644,Michele Young
Ohio,1,,114,
Ohio,2,republican,221193,Brad R. Wenstrup
Ohio,2,,7392,
Ohio,2,democrat,111694,William R. Smith
Ohio,3,democrat,199791,Joyce Beatty
Ohio,3,republican,91560,John Adams
Ohio,4,republican,210227,Jim Jordan
Ohio,4,democrat,98981,Janet Garrett
Ohio,5,democrat,100392,James Neu Jr.
Ohio,5,republican,244599,Robert E. Latta
Ohio,6,democrat,88780,Michael L. Lorentz
Ohio,6,republican,213975,Bill Johnson
Ohio,7,democrat,89638,Roy Rich
Ohio,7,republican,198221,Bob Gibbs
Ohio,7,no party,21694,Dan Phillip
Ohio,8,republican,223833,Warren Davidson
Ohio,8,green,13879,Derrick James Hendricks
Ohio,8,democrat,87794,Steven Fought
Ohio,9,democrat,193966,Marcy Kaptur
Ohio,9,,5,
Ohio,9,republican,88427,Donald P. Larson
Ohio,10,republican,215724,Michael R. Turner
Ohio,10,no party,10890,Tom McMasters
Ohio,10,democrat,109981,Robert Klepinger
Ohio,10,,7,
Ohio,11,republican,59769,Beverly A. Goldstein
Ohio,11,democrat,242917,Marcia L. Fudge
Ohio,12,republican,251266,Patrick J. Tiberi
Ohio,12,democrat,112638,Ed Albertson
Ohio,12,green,13474,Joe Manchik
Ohio,12,,156,
Ohio,13,democrat,208610,Tim Ryan
Ohio,13,republican,99377,Richard A. Morckel
Ohio,13,,17,
Ohio,14,republican,219191,David P. Joyce
Ohio,14,democrat,130907,Michael Wager
Ohio,14,,171,
Ohio,15,democrat,113960,Scott Wharton
Ohio,15,republican,222847,Steve Stivers
Ohio,16,democrat,119830,Keith Mundy
Ohio,16,republican,225794,James B. Renacci
Oregon,1,democrat,225391,Suzanne Bonamici
Oregon,1,libertarian,12257,Kyle Sheahan
Oregon,1,,691,Other
Oregon,1,republican,139756,Brian J. Heinrich
Oregon,2,republican,272952,Greg Walden
Oregon,2,,1147,Other
Oregon,2,democrat,106640,"James """"Jim"""" Crary"
Oregon,3,progressive,27978,David Delk
Oregon,3,democrat,274687,Earl Blumenauer
Oregon,3,,1536,Other
Oregon,3,independent,78154,David W. Walker
Oregon,4,libertarian,6527,Gil Guthrie
Oregon,4,republican,157743,Art Robinson
Oregon,4,,476,Other
Oregon,4,pacific green,12194,Mike Beilstein
Oregon,4,democrat,220628,Peter A. DeFazio
Oregon,5,democrat,199505,Kurt Schrader
Oregon,5,pacific green,12542,Marvin Sandnes
Oregon,5,,618,Other
Oregon,5,republican,160443,Colm Willis
